Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000013588	37	592	19	30	157	134	171	57	492
ENSG00000013619	121	314	380	429	1030	296	772	364	238
ENSG00000013725	33	158	723	206	759	397	328	149	28
ENSG00000013810	2263	2608	2460	1675	3219	8485	447	3651	6065
ENSG00000014123	269	2879	2080	759	3634	1368	65	2391	1072
ENSG00000014138	331	1046	917	560	1438	3143	172	879	2216
ENSG00000014164	1124	4841	1782	1209	3698	4785	519	2513	3621
ENSG00000014216	4770	3370	4089	3621	6265	6740	401	7381	6649
ENSG00000014257	17	102	344	165	601	85	263	140	237
ENSG00000014641	1157	3641	2057	1376	3454	2894	102	4253	1568
ENSG00000014824	283	1214	1155	507	2457	1048	49	1865	1196
ENSG00000014914	148	180	640	447	1615	850	519	389	753
ENSG00000014919	695	2171	1913	1208	3210	2481	201	3456	1686
ENSG00000015133	3922	8909	7115	3345	10007	12862	903	9101	6595
ENSG00000015153	770	1051	1618	1000	2867	1388	555	2428	843
ENSG00000015171	680	2782	2036	1359	4957	2257	154	3283	2222
ENSG00000015285	222	419	1302	664	1608	996	233	375	215
ENSG00000015413	14	58	184	39	848	25	201	35	7
ENSG00000015475	156	97	217	223	363	379	78	285	357
ENSG00000015479	3737.65	13754.43	13384.83	8282.25	25030.93	9461.4	531.58	15874.01	12579.88
ENSG00000015520	17	28	2	13	8	201	520	23	35
ENSG00000015532	2731	6285	2710	2866	5283	7082	734	3075	2900
ENSG00000015568	372.05	5931.11	3664.77	5203.48	16439.31	5841.61	1242.82	4534.17	5024.59
ENSG00000015592	0	3	1	3	4	11	151	18	6
ENSG00000015676	567	1203	725	549	1719	1851	231	1163	1600
ENSG00000016082	0	96	45	240	89	210	77	3	3047
ENSG00000016391	37	139	117	1130	1181	1588	143	226	544
ENSG00000016402	35	211	46	41	182	651	259	327	9
ENSG00000016490	3	4	0	1	0	2	149	1	2
ENSG00000016602	4	26	9	7	47	0	94	3	47
ENSG00000016864	47	444	802.74	374.1	1730	682.53	42.83	560.17	527.86
ENSG00000017260	783.92	13834.45	8037.58	7691.63	12930.18	8974.07	351.16	12231.05	7307.21
ENSG00000017427	84	72	545.99	268.98	5076.95	390	94	240.97	15
ENSG00000017483	21	144	643	242	591	149	210	138	206
ENSG00000017797	491.98	925.99	823	435	1628.91	1616	104	1104	1516
ENSG00000018189	182	3547	2061	1876	5627	3240	600.79	1305	886
ENSG00000018236	56	81	242	207	1465	176	146	176	163
ENSG00000018280	161	463	556	1008	1885	1711	273	230	413
ENSG00000018408	557	2511.8	962	912	4746	1687.42	228	1260.25	1522
ENSG00000018510	179	1994	1263	644	2588	1254	92	1465	1068
ENSG00000018607	1	19	0	2	12.15	0	430.46	0	2
ENSG00000018610	84.72	289.68	313.81	185.09	557.41	367.67	67.55	351.81	298.53
ENSG00000018625	13	221.97	23	8	652.85	26	203.57	40	86
ENSG00000018699	232	1620	1467	578	2896	2963	111	1437	1152
ENSG00000018869	43	265	75	128	298	43	191	472	162
ENSG00000019102	10	93	18	18	116	13	111	21	99
ENSG00000019144	1010	1761	2206	1475	9091	2751	889	2882	4719
ENSG00000019169	164	410	229	173	188	279	82	34	25
